"cne","cin","Nom","Prenom","anneeNaissance","VilleBac","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"247","AB343759251","LRSOB","TNKRE","1998","Marrakech","Civil","1","12","20","14","9","20","20","4","1","2","15","Fes","17","Rabat","15","Fes"
"250","AB987490481","LDDFK","VGNIN","2002","Tetouan","Civil","2","17","16","11","17","18","12","2","3","1","11","Fes","10","Nador","9","Agadir"
"258","AB025484820","FTDAV","AAGTM","2002","Nador","Civil","2","11","12","14","16","19","17","2","3","1","14","Agadir","13","Nador","13","Rabat"
"259","AB560383912","HWSSN","OGWZW","1999","Agadir","Civil","2","13","9","20","11","16","19","5","1","1","9","Tanger","17","Fes","15","Tetouan"
"261","AB292837835","SEEBK","LKCTM","2002","Rabat","Civil","2","12","19","14","15","11","17","5","1","0","19","Marrakech","12","Fes","13","Tanger"
"262","AB509685693","WDDON","QZINS","1999","Agadir","Civil","2","10","9","17","15","13","19","0","1","2","16","Marrakech","20","Oujda","10","Tanger"
"264","AB340050006","HWGHG","DRBEZ","1999","Agadir","Civil","3","19","12","17","9","16","11","5","2","2","10","Tetouan","9","Tetouan","20","Rabat"
"271","AB390989149","VXVOM","YHEZJ","1998","Fes","Civil","1","16","15","10","13","9","11","3","0","2","13","Tanger","10","Casablanca","13","Nador"
"275","AB680627882","NVWSO","IITHB","1999","Marrakech","Civil","1","13","10","14","13","14","19","5","0","2","19","Nador","15","Nador","10","Agadir"
"278","AB842192805","GJZVS","MBSDH","2002","Fes","Civil","3","18","19","9","13","15","15","0","3","0","17","Nador","15","Nador","10","Oujda"
"284","AB858264894","XLWRP","ENLSF","2000","Casablanca","Civil","2","16","12","12","16","19","18","5","3","0","20","Nador","13","Fes","13","Tanger"
"287","AB653403646","WSDCV","YSGWK","2000","Oujda","Civil","1","11","14","20","11","11","19","0","0","1","20","Tetouan","10","Nador","16","Oujda"
"288","AB760045305","ZOVFE","YNLUL","2000","Fes","Civil","2","14","9","20","17","11","15","3","3","0","11","Agadir","14","Agadir","9","Casablanca"
"291","AB110413460","GRLTW","JRSFB","2001","Oujda","Civil","2","12","17","16","11","11","13","3","2","2","18","Rabat","17","Casablanca","13","Oujda"
"293","AB797573112","NBKJS","HNTFT","2000","Fes","Civil","2","16","13","11","12","12","9","2","2","0","9","Casablanca","15","Marrakech","16","Agadir"
"295","AB733710485","AWGGG","GNHOJ","2002","Oujda","Civil","2","13","17","20","9","18","10","5","3","0","17","Marrakech","9","Rabat","11","Tetouan"
"299","AB045224092","GJXLV","NKRCB","1999","Oujda","Civil","2","14","16","9","15","9","10","0","1","0","12","Fes","11","Casablanca","15","Marrakech"
"301","AB636877461","UXGTC","HTLEW","1998","Nador","Civil","1","13","10","12","10","20","12","5","1","2","14","Casablanca","18","Nador","15","Fes"
"303","AB690409176","IDTPU","NHBIN","2001","Fes","Civil","1","17","13","9","14","19","17","3","1","1","19","Tanger","16","Casablanca","19","Casablanca"
"306","AB180131123","LBTJM","TILUD","2002","Fes","Civil","3","17","10","16","16","18","16","0","0","1","15","Agadir","11","Tetouan","15","Rabat"
"309","AB987714433","ZUYFW","ACHCJ","1998","Nador","Civil","3","9","14","19","9","20","14","2","0","0","16","Oujda","18","Tetouan","16","Fes"
"312","AB343309555","MCTLY","OSOCB","1998","Nador","Civil","3","17","17","9","19","15","18","3","1","2","15","Marrakech","11","Nador","19","Nador"
"317","AB748102734","JEIYH","GUPQV","1999","Oujda","Civil","1","19","19","17","10","10","13","5","3","2","10","Oujda","10","Rabat","14","Oujda"
"324","AB689996464","NIDSN","YINAT","2002","Oujda","Civil","2","17","10","18","20","17","12","4","3","2","11","Rabat","14","Marrakech","11","Marrakech"
"330","AB245310462","IRMKQ","TQRZZ","2000","Tanger","Civil","1","13","14","18","11","19","15","5","2","1","15","Marrakech","20","Tanger","17","Marrakech"
"332","AB721577920","QKPKY","UYDBT","2001","Agadir","Civil","2","15","14","16","16","14","9","0","3","2","19","Tetouan","18","Tetouan","20","Casablanca"
"333","AB448364263","HVKVT","WSAJB","2002","Marrakech","Civil","3","18","12","11","14","15","15","3","2","0","14","Fes","16","Fes","11","Oujda"
"337","AB991657603","PIUZE","OUPEC","2001","Tetouan","Civil","3","17","13","18","11","12","18","2","0","0","19","Agadir","18","Marrakech","20","Fes"
"338","AB927051161","QQIDD","JVCXF","2001","Tetouan","Civil","2","15","9","12","10","15","10","0","0","0","12","Agadir","18","Tetouan","13","Casablanca"
"342","AB112478251","VFPYU","JCTLP","2000","Nador","Civil","2","13","12","12","12","15","10","3","1","1","20","Tetouan","17","Fes","11","Tanger"
"343","AB472606955","KMPRO","SHIRM","1998","Marrakech","Civil","2","20","17","16","16","12","15","5","2","0","12","Fes","15","Oujda","17","Tanger"
"362","AB331609411","DUMIC","VWEMA","1999","Agadir","Civil","1","20","19","14","14","17","12","1","3","0","10","Tetouan","10","Agadir","19","Casablanca"
"364","AB011157611","MUMQR","UZNVL","1999","Tetouan","Civil","2","12","15","10","13","14","14","5","2","0","9","Rabat","11","Agadir","9","Casablanca"
"366","AB688378867","HZFIY","VKFMR","2001","Tetouan","Civil","3","16","15","16","14","16","20","1","2","2","16","Tanger","16","Tanger","13","Casablanca"
"369","AB318440435","BSNDY","SXWDC","1999","Agadir","Civil","3","17","15","10","12","19","9","2","1","2","16","Nador","16","Agadir","15","Rabat"
"371","AB762636756","AFJXW","BJXGJ","2001","Fes","Civil","3","15","14","18","13","12","12","3","1","0","12","Oujda","11","Tanger","12","Rabat"
"387","AB706053459","KQXIY","NJNXP","2000","Agadir","Civil","1","16","9","20","20","12","13","5","0","2","15","Tetouan","18","Rabat","16","Marrakech"
"391","AB000706223","TFTKY","DFWLT","2002","Oujda","Civil","1","17","14","15","17","10","11","3","0","1","14","Agadir","12","Casablanca","16","Marrakech"
"397","AB871463831","HIWBI","BQDUT","1998","Casablanca","Civil","2","13","19","11","14","11","9","1","0","2","18","Fes","11","Rabat","10","Agadir"
"398","AB268026024","SXGGR","OOBFS","1999","Rabat","Civil","3","20","10","20","12","9","19","0","0","2","13","Fes","10","Fes","19","Tanger"
"401","AB970792161","NPSRJ","LUINM","2002","Marrakech","Civil","2","14","18","11","9","9","14","4","3","1","17","Tetouan","11","Nador","16","Marrakech"
"402","AB567887769","MFFNJ","GSRVD","1998","Fes","Civil","1","19","9","12","9","15","11","0","2","1","19","Tetouan","17","Casablanca","19","Fes"
"411","AB119941542","AKVKV","YCWAD","2002","Agadir","Civil","2","19","10","14","18","16","15","5","3","0","14","Oujda","16","Tanger","19","Oujda"
"412","AB970455679","WTZEY","VTOTZ","2000","Casablanca","Civil","3","12","13","13","9","16","11","4","2","1","15","Tetouan","13","Rabat","10","Marrakech"
"416","AB293733053","FXQMB","TUYVN","2002","Tanger","Civil","2","12","19","14","12","10","15","2","1","2","17","Tetouan","19","Rabat","9","Rabat"
"418","AB173151749","SLMZE","PPDFP","1998","Fes","Civil","2","10","9","11","13","11","13","0","3","1","10","Tanger","20","Rabat","11","Tetouan"
"427","AB258193142","THADV","QFFTE","2002","Oujda","Civil","1","20","17","17","15","14","9","4","0","2","17","Tanger","17","Agadir","19","Tetouan"
"428","AB116384947","OAYRT","TWCHX","1998","Oujda","Civil","1","18","9","20","17","16","15","1","2","0","18","Nador","17","Oujda","13","Nador"
"431","AB028723778","VYTIO","QJKES","2002","Nador","Civil","1","18","10","10","11","15","17","3","0","2","10","Oujda","18","Casablanca","19","Oujda"
"438","AB948243952","XAJYJ","DRNOT","1998","Fes","Civil","1","19","9","10","17","16","19","2","1","1","19","Fes","17","Tanger","20","Nador"
"439","AB047211275","DNXMG","VYPDF","1999","Marrakech","Civil","2","10","10","16","20","19","9","0","3","0","18","Tetouan","12","Nador","17","Fes"
"442","AB428912097","XIGDZ","KOROJ","2000","Casablanca","Civil","3","20","14","11","11","17","20","0","2","0","14","Marrakech","15","Tetouan","10","Rabat"
"443","AB336521574","FTVPZ","IUJOH","2001","Oujda","Civil","2","17","13","19","17","14","16","3","2","0","15","Oujda","9","Rabat","10","Agadir"
"454","AB978981742","SCWDF","LTIIN","2002","Tetouan","Civil","3","12","16","10","15","19","18","3","1","1","16","Nador","15","Tanger","16","Marrakech"
"468","AB649413674","LYBKD","NBUWJ","1999","Marrakech","Civil","1","16","9","11","11","12","11","1","1","0","11","Agadir","15","Marrakech","15","Oujda"
"474","AB803088269","ZDDWR","CALHT","2002","Rabat","Civil","3","20","11","15","18","12","13","5","3","1","15","Tetouan","15","Rabat","13","Fes"
"485","AB045761097","VVAHT","QTZYV","2000","Oujda","Civil","3","17","19","19","16","16","20","5","1","1","19","Tetouan","19","Oujda","20","Agadir"
"493","AB529785206","FOHVA","AXDQE","2000","Casablanca","Civil","1","11","15","11","11","9","20","3","0","0","17","Agadir","14","Casablanca","16","Tanger"
"496","AB716339966","XSHKF","MJWBF","1999","Casablanca","Civil","2","20","11","10","11","15","14","0","3","1","12","Fes","19","Rabat","15","Rabat"
"505","AB677049147","URBCR","OFYUF","1998","Rabat","Civil","2","9","9","10","11","20","13","5","1","2","9","Casablanca","19","Rabat","14","Marrakech"
"510","AB615909852","OOROO","LJZUA","2000","Tanger","Civil","1","9","20","20","14","13","19","0","2","1","15","Marrakech","16","Agadir","11","Casablanca"
"517","AB881313720","HXDUW","FYPQP","1998","Agadir","Civil","3","14","18","20","17","20","17","3","1","2","9","Casablanca","18","Tetouan","11","Casablanca"
"520","AB586258385","DTUIV","EIQHV","2001","Marrakech","Civil","2","10","15","16","15","20","12","4","2","2","9","Tetouan","10","Rabat","13","Nador"
"533","AB870173995","TQTWC","YASUT","1999","Marrakech","Civil","3","16","17","14","20","19","20","2","0","1","14","Marrakech","11","Tanger","10","Oujda"
"537","AB526295917","BWGQO","XWBYK","1999","Rabat","Civil","1","14","20","16","14","19","9","4","3","0","10","Marrakech","13","Casablanca","19","Tetouan"
"544","AB510433706","OACUJ","TFKIP","2000","Marrakech","Civil","2","11","14","20","11","19","12","4","3","0","11","Rabat","16","Agadir","13","Fes"
"545","AB858385470","VZTKR","FZNUG","2001","Oujda","Civil","3","17","16","10","15","11","17","3","0","2","20","Oujda","20","Rabat","19","Marrakech"
"546","AB702444654","AHQIV","FARAJ","2000","Fes","Civil","1","13","17","10","10","13","19","1","0","2","20","Fes","16","Agadir","20","Rabat"
"547","AB098265583","NPKYO","ZESAY","2002","Casablanca","Civil","1","13","14","15","17","17","20","2","0","2","13","Rabat","15","Nador","15","Marrakech"
"551","AB879235308","VUUWQ","RQFKX","2002","Tanger","Civil","1","17","18","14","10","10","17","4","2","0","10","Agadir","10","Marrakech","11","Tanger"
"558","AB565862170","HLOCZ","EIIYA","2000","Rabat","Civil","3","20","17","14","19","20","20","3","0","2","12","Marrakech","9","Casablanca","17","Oujda"
"561","AB163996939","BYVKD","RCTKV","1998","Casablanca","Civil","2","11","20","16","15","10","20","5","3","0","9","Oujda","20","Tetouan","13","Agadir"
"568","AB879529803","VTKZS","DDABY","2000","Rabat","Civil","1","9","19","16","20","17","12","0","0","2","18","Tanger","18","Nador","20","Marrakech"
"571","AB537215078","NFGWI","NJJZV","1999","Tetouan","Civil","3","15","18","11","11","11","11","0","0","1","19","Tanger","20","Rabat","9","Casablanca"
"581","AB831704940","IHNMD","NACZM","1998","Oujda","Civil","3","13","18","18","16","15","16","5","2","2","14","Tetouan","12","Nador","17","Rabat"
"582","AB419051633","KPWOT","JGGZF","2000","Casablanca","Civil","2","20","16","20","11","17","12","5","3","0","16","Agadir","17","Rabat","12","Tetouan"
"583","AB098415281","TBOGW","FEBIR","1998","Oujda","Civil","1","15","11","11","16","20","10","2","1","2","17","Casablanca","11","Nador","10","Rabat"
"589","AB577928385","CSSYL","RTPNM","2001","Agadir","Civil","1","20","13","12","14","12","14","4","0","0","17","Nador","19","Rabat","20","Marrakech"
"597","AB845521929","FWZLC","FJYQN","1999","Casablanca","Civil","2","11","17","17","9","14","17","0","3","2","15","Rabat","19","Fes","14","Marrakech"
"599","AB168827193","AHUQR","CDJEL","1998","Marrakech","Civil","3","20","16","20","11","19","9","3","3","0","11","Nador","14","Casablanca","16","Tanger"
"603","AB441818168","JLIRP","IGCBR","2001","Casablanca","Civil","1","17","13","17","14","10","14","5","3","2","17","Nador","10","Marrakech","15","Tanger"
"606","AB473093114","MJPEF","ENLDK","2001","Nador","Civil","3","11","16","20","15","16","13","2","3","2","20","Marrakech","20","Rabat","15","Tetouan"
"616","AB741117573","PQNFS","SIGEH","2001","Marrakech","Civil","1","15","11","16","9","20","10","0","0","1","14","Marrakech","17","Nador","10","Tetouan"
"620","AB558470490","ZWXRI","YRNAG","2000","Fes","Civil","3","18","16","18","10","15","12","3","1","1","9","Casablanca","17","Tanger","19","Casablanca"
"622","AB511387076","RWSCU","AVXWV","1998","Marrakech","Civil","3","11","11","10","13","10","18","2","3","2","13","Marrakech","13","Marrakech","14","Rabat"
"627","AB987613740","RSYHS","BYWZS","1998","Tetouan","Civil","2","12","9","15","19","15","12","1","2","0","12","Casablanca","17","Rabat","10","Tetouan"
"630","AB433036528","NUYEZ","EYAYQ","2000","Tanger","Civil","1","16","13","16","13","10","11","1","2","1","11","Rabat","11","Marrakech","10","Nador"
"632","AB299897392","ILJVL","ZKQUI","2000","Fes","Civil","3","19","20","16","20","18","11","0","3","2","9","Tanger","18","Agadir","14","Rabat"
"635","AB596276442","AXPIO","RGVMI","2000","Oujda","Civil","2","14","19","19","13","11","20","1","3","0","11","Nador","10","Rabat","10","Marrakech"
"640","AB666122821","ARYWD","VSPUI","2000","Agadir","Civil","1","15","13","15","9","16","9","4","0","0","16","Tetouan","13","Oujda","20","Rabat"
"665","AB923002220","HXCIT","RTUAJ","1998","Agadir","Civil","1","10","11","16","12","14","14","4","3","0","19","Rabat","17","Marrakech","16","Nador"
"666","AB423787086","WHDCG","QGGMJ","2001","Fes","Civil","2","14","20","12","14","16","9","0","0","0","19","Fes","12","Marrakech","9","Fes"
"671","AB370126916","SKHFD","NKQNE","2002","Marrakech","Civil","1","10","11","11","18","19","11","2","3","0","15","Nador","14","Tetouan","16","Marrakech"
"680","AB253723798","JYZEL","KKLAP","2001","Tetouan","Civil","2","12","11","19","10","17","19","2","0","0","11","Casablanca","14","Casablanca","16","Tanger"
"691","AB661330786","ZAIYD","DZPUF","2000","Tanger","Civil","2","12","13","14","20","11","20","3","1","2","10","Oujda","19","Tanger","17","Fes"
"693","AB671791190","TWGCN","RTDTH","1998","Nador","Civil","2","15","14","19","17","10","16","4","3","1","12","Fes","11","Nador","10","Oujda"
"706","AB220781399","PDRJN","PHYPN","1999","Tanger","Civil","1","18","10","15","11","9","20","1","3","2","15","Casablanca","9","Fes","18","Agadir"
"712","AB213000130","GNXRR","DJRMU","2000","Oujda","Civil","3","15","11","10","16","12","15","0","2","2","14","Rabat","9","Marrakech","17","Rabat"
"715","AB075322493","XBWDJ","KRZGI","1999","Tanger","Civil","2","20","20","19","20","9","11","0","2","2","18","Tanger","15","Rabat","18","Casablanca"
"722","AB499502607","ZCFPS","PBMHU","2000","Tanger","Civil","3","9","14","16","17","10","13","3","1","1","13","Casablanca","14","Tetouan","11","Marrakech"
"727","AB697864063","PPCPX","MSMCS","2001","Oujda","Civil","1","14","12","15","15","14","16","0","0","2","18","Oujda","9","Casablanca","19","Nador"
"729","AB864904727","ZDUAD","JONHU","2001","Fes","Civil","1","18","15","14","11","20","9","4","3","0","12","Fes","11","Oujda","11","Casablanca"
"733","AB353524821","RFGOD","LRDAE","1998","Oujda","Civil","2","11","14","16","17","18","16","2","1","1","16","Rabat","10","Agadir","16","Rabat"
"740","AB338883670","LRHIH","TGPJR","2001","Oujda","Civil","2","9","14","16","9","14","18","1","0","0","16","Casablanca","12","Agadir","17","Tetouan"
"741","AB951859990","OLGKB","OXTHK","1998","Nador","Civil","3","13","12","14","12","12","9","1","3","0","10","Fes","14","Tanger","15","Tanger"
"747","AB817201287","CYTNH","HXJCG","2000","Agadir","Civil","1","9","13","18","15","11","19","1","1","1","16","Tetouan","13","Oujda","11","Casablanca"
"751","AB651797367","AYAIH","XDPMS","2000","Fes","Civil","1","17","19","14","17","17","11","0","0","0","9","Rabat","14","Oujda","10","Nador"
"752","AB694088885","XHKRP","ZCQRJ","2002","Nador","Civil","3","14","18","19","14","19","17","0","2","2","14","Casablanca","9","Fes","14","Tanger"
"753","AB696668882","HENJW","LSYXY","1999","Agadir","Civil","2","16","11","16","15","10","14","1","1","1","19","Rabat","13","Nador","12","Casablanca"
"760","AB372038333","JGHQV","WYZHB","2000","Rabat","Civil","3","17","17","12","12","16","16","3","1","0","19","Tetouan","16","Fes","10","Marrakech"
"761","AB544888708","WHUAG","TMVJR","1998","Fes","Civil","1","11","9","13","20","13","14","1","2","2","12","Fes","16","Tetouan","14","Casablanca"
"764","AB379782891","GITHK","SDIDC","1998","Tanger","Civil","3","20","17","12","14","14","9","3","0","2","19","Tanger","19","Oujda","9","Tetouan"
"766","AB380424433","FWBRL","LWGMP","2001","Casablanca","Civil","3","11","20","20","20","17","18","2","3","1","13","Nador","19","Marrakech","17","Rabat"
"778","AB948466200","UQFLP","RTUUK","2000","Agadir","Civil","3","13","10","20","12","10","9","2","3","2","20","Tanger","20","Fes","17","Tanger"
"782","AB147207477","BKVWO","ZDILS","2000","Nador","Civil","1","12","16","17","18","20","18","2","3","0","10","Marrakech","18","Casablanca","15","Rabat"
"784","AB071785483","OHLUS","LNDAR","2001","Oujda","Civil","3","18","18","16","11","20","19","5","0","2","18","Casablanca","18","Nador","10","Fes"
"796","AB740721314","ITPBA","QQXHX","2000","Fes","Civil","2","19","14","12","15","12","19","0","3","1","12","Agadir","19","Fes","10","Fes"
"797","AB241442017","AFWAC","YNJOF","2001","Casablanca","Civil","3","17","15","14","16","10","17","2","2","1","10","Fes","20","Fes","9","Fes"
"802","AB476866429","NHRJB","MDNHX","2002","Casablanca","Civil","3","20","12","9","18","13","16","2","1","2","13","Casablanca","12","Tanger","9","Tetouan"
"809","AB974781271","TYYDA","EWNEN","1998","Tanger","Civil","1","11","16","16","18","10","20","5","0","0","14","Oujda","9","Fes","10","Tanger"
"814","AB276741218","PKJEF","TTIXE","2000","Tetouan","Civil","2","15","12","19","15","12","9","4","0","2","10","Rabat","11","Casablanca","17","Tetouan"
"815","AB718151843","RMYCR","PLZPF","1999","Oujda","Civil","1","14","19","9","18","9","17","2","1","2","16","Fes","12","Tanger","13","Tanger"
"824","AB144359751","CAALI","ONUGX","1998","Casablanca","Civil","2","20","15","12","14","9","10","0","2","1","14","Marrakech","17","Rabat","12","Agadir"
"829","AB156539729","YJEIK","FFBPV","1998","Tanger","Civil","3","10","15","16","11","20","16","5","2","2","17","Tetouan","14","Agadir","10","Casablanca"
"832","AB267186070","HGZZO","FAOBB","2001","Tetouan","Civil","1","17","16","12","19","16","16","0","2","0","10","Tanger","14","Casablanca","20","Marrakech"
"834","AB474132068","SUDTG","STNCJ","2001","Agadir","Civil","3","10","16","20","19","14","15","5","2","1","16","Rabat","18","Marrakech","14","Nador"
"836","AB572500765","CEYVS","DIAUE","2002","Marrakech","Civil","2","20","17","14","16","11","17","2","0","2","20","Fes","19","Tanger","14","Nador"
"839","AB104868941","QPRWY","VAVAA","2000","Casablanca","Civil","2","20","13","10","20","14","11","3","1","2","16","Fes","12","Casablanca","16","Casablanca"
"846","AB688103992","HIDAP","OOPBJ","2001","Tetouan","Civil","3","20","20","18","11","11","18","0","3","0","9","Casablanca","12","Marrakech","11","Fes"
"854","AB004136628","SBOID","YVLGG","2001","Rabat","Civil","3","17","18","17","19","11","13","4","3","2","16","Agadir","14","Fes","16","Agadir"
"858","AB329622381","PTUTV","RYSBK","2002","Tetouan","Civil","1","10","16","16","9","19","15","0","3","0","13","Tanger","11","Tetouan","10","Casablanca"
"860","AB788175092","FLZPG","AYPPP","1998","Casablanca","Civil","2","12","17","11","20","13","11","3","2","1","11","Tanger","20","Tetouan","10","Marrakech"
"865","AB525340836","QDOXG","ENECT","1999","Nador","Civil","1","18","15","14","17","20","12","3","1","1","14","Tanger","13","Tanger","16","Tanger"
"866","AB957648021","ENEFR","LUTRB","1999","Marrakech","Civil","2","10","15","12","19","20","17","4","0","1","17","Tetouan","14","Agadir","9","Fes"
"873","AB084475912","FCGRI","SHZFT","2001","Marrakech","Civil","3","18","16","13","13","12","15","0","2","2","17","Marrakech","11","Nador","14","Tanger"
"882","AB316630989","OWUIX","YWJYP","2002","Agadir","Civil","1","15","20","17","9","17","16","1","1","2","16","Tetouan","9","Tetouan","19","Tetouan"
"886","AB392701297","TVSBC","RXMBH","2000","Oujda","Civil","2","20","9","9","19","18","12","5","1","0","17","Fes","15","Tetouan","10","Casablanca"
"891","AB156381806","ZZZZE","KZYCJ","2000","Tanger","Civil","1","10","11","15","20","17","14","1","1","0","18","Rabat","12","Rabat","10","Marrakech"
"892","AB995636796","NFMDA","XBDBO","1998","Nador","Civil","3","19","15","16","9","11","12","1","0","0","11","Oujda","19","Fes","15","Casablanca"
"896","AB783291613","RJFYW","ASGTN","2001","Tetouan","Civil","2","14","11","10","14","17","16","2","2","1","16","Fes","15","Oujda","17","Agadir"
