"cne","cin","Nom","Prenom","anneeNaissance","VilleBac","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"204","AB478949547","USDOU","RPERV","1999","Tetouan","Electrique","2","18","20","12","17","11","17","0","0","1","15","Casablanca","12","Rabat","12","Nador"
"206","AB071069324","AHFSP","XEHQV","2000","Agadir","Electrique","3","12","18","11","19","14","14","2","2","0","10","Fes","16","Agadir","18","Marrakech"
"214","AB325966304","YWRJX","ITMCX","2002","Fes","Electrique","1","17","20","20","10","9","18","4","1","1","15","Marrakech","18","Tanger","20","Oujda"
"218","AB243431913","HVREV","IWULL","1999","Tetouan","Electrique","3","15","14","15","19","15","14","0","1","0","10","Fes","17","Oujda","15","Marrakech"
"219","AB655025330","RRUJS","UCKQE","2002","Nador","Electrique","2","20","14","17","16","19","13","2","1","0","20","Casablanca","14","Rabat","17","Marrakech"
"223","AB449757703","EQIVI","TXBDY","1999","Oujda","Electrique","3","20","19","18","14","11","19","5","3","0","10","Rabat","19","Casablanca","12","Nador"
"225","AB006811096","QILPR","XVHIM","2000","Tanger","Electrique","3","18","13","11","14","14","13","2","2","2","9","Tetouan","19","Nador","18","Agadir"
"227","AB843571703","TOLVA","IRDMV","2000","Oujda","Electrique","2","9","13","17","15","17","16","3","2","2","16","Tetouan","11","Casablanca","11","Tanger"
"228","AB694780475","BGVBZ","XFMGP","2002","Marrakech","Electrique","3","12","10","10","10","10","19","2","2","0","14","Fes","15","Agadir","14","Agadir"
"238","AB882177627","LZAWA","ULIEA","2000","Oujda","Electrique","1","18","11","9","17","13","12","3","0","2","12","Oujda","20","Agadir","20","Agadir"
"240","AB888002317","XKIIR","DOSUW","2002","Agadir","Electrique","2","13","12","20","20","12","11","1","3","0","19","Oujda","16","Casablanca","11","Tanger"
"242","AB014468480","CDHPA","CMJPZ","1998","Marrakech","Electrique","3","14","18","12","13","14","17","5","2","2","19","Fes","16","Marrakech","11","Oujda"
"244","AB560857518","PUNAK","THNVZ","2002","Tanger","Electrique","1","18","15","14","9","11","12","0","3","0","18","Tetouan","18","Marrakech","13","Fes"
"246","AB300909943","CDNVO","NXJIC","2000","Tetouan","Electrique","3","13","10","11","17","15","19","0","1","0","11","Agadir","11","Oujda","11","Fes"
"253","AB982669707","UEFXH","PPFOR","1999","Tanger","Electrique","1","9","14","14","19","9","13","0","3","1","11","Casablanca","9","Casablanca","11","Casablanca"
"272","AB134673988","VXNRU","ZTOVD","2001","Rabat","Electrique","1","14","16","10","14","18","15","3","0","2","14","Agadir","19","Casablanca","10","Marrakech"
"273","AB380737507","UAYEO","ELPAT","1998","Oujda","Electrique","3","17","14","12","9","18","15","1","3","1","20","Oujda","13","Rabat","11","Oujda"
"274","AB768940393","HBLJV","XIGYH","2000","Rabat","Electrique","1","16","18","18","16","19","10","2","3","1","18","Fes","11","Tetouan","19","Fes"
"277","AB675563125","RCGMA","UARVF","2002","Fes","Electrique","3","10","13","9","20","11","9","1","2","2","16","Agadir","20","Tanger","12","Tanger"
"279","AB117260844","HCEID","YCGJL","2002","Tetouan","Electrique","3","9","17","18","10","18","9","4","2","2","18","Rabat","10","Tetouan","10","Tetouan"
"281","AB919323884","GKVFD","ZKGXG","2000","Marrakech","Electrique","3","11","12","20","12","14","15","5","2","1","19","Marrakech","20","Fes","17","Casablanca"
"282","AB983679805","YTCEB","LCCZU","2000","Oujda","Electrique","2","12","16","18","12","14","14","3","1","0","11","Oujda","20","Tetouan","19","Tanger"
"286","AB074728260","BUTLN","LQIYL","2001","Nador","Electrique","2","10","11","14","12","12","14","5","2","2","19","Tetouan","9","Agadir","17","Oujda"
"296","AB475575203","CDIOZ","AZTVL","1998","Casablanca","Electrique","2","12","12","15","10","14","9","4","3","2","18","Nador","11","Tanger","10","Agadir"
"305","AB530169905","PEDPR","KBWIL","1998","Marrakech","Electrique","2","12","11","19","16","15","14","1","1","0","16","Tanger","10","Tanger","13","Oujda"
"311","AB651649357","SIOUY","AVLYB","2001","Marrakech","Electrique","3","10","19","12","11","9","18","3","3","2","16","Agadir","15","Fes","13","Oujda"
"313","AB803666239","CGSRM","HYWSQ","2000","Tanger","Electrique","3","12","17","19","17","14","12","4","2","1","17","Tanger","15","Oujda","12","Tetouan"
"316","AB800761174","BWYWD","VABRH","1998","Nador","Electrique","2","10","12","16","11","9","19","0","1","1","19","Agadir","10","Rabat","12","Agadir"
"318","AB906043112","LVWKJ","BJGCT","2002","Tanger","Electrique","3","11","12","20","20","20","15","4","3","2","10","Marrakech","13","Tanger","16","Tanger"
"326","AB592701347","LXMNY","VZRNV","2001","Rabat","Electrique","2","20","10","9","13","10","14","4","1","2","16","Oujda","20","Agadir","19","Nador"
"335","AB638316652","QEYWX","ZKMXJ","2002","Tetouan","Electrique","1","14","13","19","11","16","9","4","0","2","11","Agadir","9","Marrakech","11","Marrakech"
"339","AB178098956","ZKWBI","YHBGE","2002","Rabat","Electrique","1","9","17","15","11","14","11","0","3","1","19","Rabat","12","Fes","14","Rabat"
"340","AB738563593","GTIPH","IEGFM","2000","Nador","Electrique","1","11","10","10","15","12","17","4","3","0","15","Oujda","19","Marrakech","14","Agadir"
"346","AB880262940","PFAJB","GUDAW","1998","Nador","Electrique","3","20","19","19","20","11","20","2","1","1","18","Nador","11","Casablanca","11","Agadir"
"348","AB410791757","ETINO","WIKGP","2001","Nador","Electrique","3","16","18","13","17","16","13","5","1","1","17","Agadir","17","Casablanca","14","Marrakech"
"358","AB095335282","DVPAP","AKEQG","1999","Marrakech","Electrique","3","9","11","10","14","11","18","1","1","0","11","Agadir","17","Casablanca","17","Oujda"
"359","AB168153472","ZOMWD","LNRVO","1999","Agadir","Electrique","2","16","17","15","17","18","13","1","0","1","15","Tanger","20","Casablanca","15","Oujda"
"367","AB928687176","DLOIL","MRLNE","2000","Tanger","Electrique","1","12","12","13","11","20","12","5","3","2","9","Rabat","16","Casablanca","12","Rabat"
"376","AB405968781","RFSCS","YHDAS","1998","Marrakech","Electrique","1","14","18","17","12","20","19","5","1","0","14","Casablanca","14","Oujda","15","Tanger"
"378","AB987024043","NSUTX","DLLAU","2000","Rabat","Electrique","1","13","18","11","19","17","18","1","1","2","19","Oujda","17","Tanger","9","Casablanca"
"382","AB994119279","WZJQM","XHDWN","2002","Marrakech","Electrique","3","16","14","11","15","11","11","1","2","1","14","Rabat","15","Nador","17","Nador"
"383","AB469721288","SYDLV","DDKEK","2000","Rabat","Electrique","2","19","14","19","10","17","14","4","3","1","11","Tetouan","19","Nador","11","Oujda"
"388","AB755801510","VHQES","POWYA","2001","Nador","Electrique","1","17","9","15","20","12","20","5","0","0","16","Rabat","15","Rabat","20","Nador"
"392","AB500435884","DMNEQ","NMMDP","2001","Marrakech","Electrique","1","20","20","10","15","18","10","3","0","1","11","Agadir","16","Casablanca","16","Rabat"
"399","AB671470914","RLXWY","LDOYB","2000","Marrakech","Electrique","1","9","10","14","13","14","19","4","3","0","16","Tanger","15","Agadir","14","Marrakech"
"407","AB134359557","UDTBP","NEGJV","1999","Nador","Electrique","2","18","14","18","16","16","13","0","2","1","20","Casablanca","12","Rabat","17","Oujda"
"413","AB509838785","ZCLMG","XUMGQ","1998","Marrakech","Electrique","2","10","18","16","13","20","13","1","3","1","19","Oujda","15","Agadir","10","Tanger"
"414","AB694500809","MDLZJ","BEJWO","2001","Agadir","Electrique","2","15","10","10","17","14","11","4","0","1","12","Marrakech","16","Nador","20","Tanger"
"417","AB729907950","XHSVB","EPFGV","2000","Rabat","Electrique","1","10","14","16","9","13","15","2","1","2","19","Rabat","10","Oujda","17","Tetouan"
"436","AB658716626","FEXQH","ICIVD","2001","Fes","Electrique","2","10","16","15","11","10","10","5","0","0","18","Tanger","15","Tanger","20","Oujda"
"441","AB611572452","FSSIF","OORHO","2000","Rabat","Electrique","2","13","16","18","18","17","12","5","2","0","16","Marrakech","17","Fes","14","Marrakech"
"446","AB463231184","RYNTK","LHOXD","2002","Tetouan","Electrique","3","15","20","17","14","20","12","0","3","0","16","Agadir","14","Oujda","14","Rabat"
"447","AB822628944","PXSMH","RTNRG","2001","Oujda","Electrique","2","17","20","9","19","18","9","4","2","0","17","Tanger","18","Marrakech","20","Tanger"
"451","AB057697656","LYVNS","AXVCI","2002","Fes","Electrique","2","20","18","17","11","10","16","4","3","2","19","Tetouan","19","Tanger","10","Fes"
"455","AB307975144","BCUJQ","FWXAM","2001","Fes","Electrique","1","9","9","12","10","11","18","1","1","0","18","Marrakech","15","Casablanca","10","Tetouan"
"457","AB782471939","PADKO","IQMXE","2002","Tetouan","Electrique","1","15","18","17","16","15","16","2","3","2","20","Nador","16","Rabat","18","Fes"
"459","AB656328453","IXXDC","LZJVU","1998","Oujda","Electrique","3","12","18","9","19","15","11","4","1","1","17","Casablanca","20","Tanger","14","Marrakech"
"461","AB132766153","WGVKW","NWZMU","2000","Fes","Electrique","3","18","12","20","11","17","18","0","1","0","16","Casablanca","16","Oujda","15","Oujda"
"464","AB982223649","EGOGG","JVGIS","2000","Marrakech","Electrique","3","17","17","15","9","17","18","5","1","1","14","Rabat","18","Fes","15","Marrakech"
"465","AB775634717","RCRTZ","UTPCW","2000","Rabat","Electrique","2","19","10","19","17","17","19","0","3","2","9","Oujda","17","Tetouan","9","Oujda"
"470","AB555951608","AXDSN","OLCAR","2000","Tanger","Electrique","1","15","12","20","13","13","16","3","0","0","15","Fes","16","Agadir","10","Rabat"
"477","AB992574459","SCVVN","TCFKX","2001","Rabat","Electrique","2","17","14","13","10","12","13","4","3","0","18","Fes","13","Oujda","14","Fes"
"480","AB660660854","IUOFN","EHFJC","2002","Fes","Electrique","1","12","13","9","10","17","19","0","1","0","19","Marrakech","13","Fes","15","Marrakech"
"484","AB215295721","JJRDY","APLYM","1998","Rabat","Electrique","3","10","15","10","11","16","17","2","3","0","10","Tanger","20","Nador","14","Agadir"
"487","AB167057789","MRXYZ","VPJRY","2001","Tetouan","Electrique","3","17","9","9","16","19","9","0","0","2","16","Fes","19","Agadir","16","Casablanca"
"490","AB123294825","NLQYI","DWNNQ","1998","Nador","Electrique","1","18","15","9","10","18","14","0","3","2","9","Nador","10","Nador","14","Tanger"
"495","AB064323033","VUVCR","RXUIN","2001","Marrakech","Electrique","1","11","12","13","19","12","14","4","3","2","11","Casablanca","11","Casablanca","13","Fes"
"497","AB662032415","MWPOM","TTQWK","2001","Fes","Electrique","1","12","14","19","16","18","11","0","0","0","17","Oujda","15","Tanger","9","Casablanca"
"501","AB193295507","TKEUN","KBXKX","2000","Fes","Electrique","1","17","12","14","11","18","16","1","0","2","17","Tetouan","19","Tetouan","11","Oujda"
"507","AB012914627","QIFPB","BNPFX","2002","Tetouan","Electrique","3","18","13","13","19","18","18","0","0","2","16","Tanger","9","Tanger","16","Tanger"
"509","AB453486943","MFKKE","TSPVU","2001","Agadir","Electrique","3","19","17","10","14","10","12","1","2","2","18","Agadir","11","Casablanca","13","Oujda"
"515","AB625287947","FWSFP","BRKVQ","1999","Marrakech","Electrique","1","20","10","17","18","9","15","3","0","1","15","Casablanca","18","Nador","12","Oujda"
"522","AB326133789","KZOXL","YKHKG","2001","Marrakech","Electrique","3","19","15","17","11","19","12","2","2","1","10","Agadir","18","Oujda","11","Agadir"
"524","AB050563803","BVKKQ","MZQRD","2001","Tetouan","Electrique","2","19","20","17","19","17","13","4","1","1","18","Casablanca","10","Oujda","13","Agadir"
"525","AB559782196","CBNEB","WKXVG","2002","Tetouan","Electrique","1","15","16","13","11","17","9","5","1","0","15","Casablanca","19","Tanger","12","Nador"
"528","AB868168459","FQQFZ","RQWQR","1999","Nador","Electrique","2","17","14","20","20","9","16","0","2","2","16","Marrakech","9","Fes","16","Marrakech"
"529","AB845786817","JIHPM","QNZWQ","2002","Tetouan","Electrique","2","14","9","12","12","12","19","5","0","1","9","Oujda","19","Marrakech","18","Tanger"
"532","AB543561544","VMVJS","IZXYD","1999","Agadir","Electrique","3","17","15","17","19","14","20","3","2","1","18","Casablanca","12","Oujda","19","Casablanca"
"540","AB044304559","AGZMM","JCMRU","2001","Tetouan","Electrique","3","17","13","11","10","12","17","1","1","1","9","Oujda","12","Rabat","17","Tetouan"
"541","AB616065334","MUKYG","VHIFG","1998","Marrakech","Electrique","1","16","11","10","18","14","20","2","2","0","18","Tanger","9","Oujda","12","Casablanca"
"542","AB098619500","PJHGG","LOCHI","2002","Rabat","Electrique","2","20","16","16","13","12","12","5","2","0","14","Nador","19","Agadir","9","Oujda"
"549","AB288530112","MLGJS","XGVYO","2001","Oujda","Electrique","2","14","12","13","9","16","13","4","1","0","11","Casablanca","18","Fes","19","Rabat"
"550","AB236674268","WJJMV","DZLXP","2000","Marrakech","Electrique","1","12","20","14","11","13","18","1","2","0","11","Casablanca","11","Agadir","17","Agadir"
"552","AB269784781","KAXJP","SYYUG","2000","Nador","Electrique","2","14","20","14","16","11","15","3","2","2","9","Fes","19","Tanger","18","Marrakech"
"554","AB035493343","LWUJP","SFCIT","2002","Marrakech","Electrique","2","17","16","9","12","14","12","0","0","0","15","Tanger","13","Fes","17","Rabat"
"562","AB292658737","YOYOU","SEJVG","2000","Agadir","Electrique","3","10","10","14","16","18","15","5","1","1","18","Casablanca","12","Casablanca","18","Oujda"
"563","AB727564960","CESFC","OBMXL","2001","Nador","Electrique","2","18","11","15","16","12","14","4","3","1","11","Casablanca","12","Rabat","13","Nador"
"567","AB368389838","OTRNL","ZUSGR","1999","Tanger","Electrique","1","14","16","16","10","19","14","3","0","1","12","Fes","20","Tetouan","17","Tetouan"
"570","AB570060443","QNPBQ","CWTFN","2000","Rabat","Electrique","3","10","15","10","19","10","12","3","3","2","11","Tanger","14","Fes","11","Nador"
"574","AB975799084","YCRSH","MQVRF","2002","Marrakech","Electrique","3","16","19","14","19","17","9","5","0","1","11","Agadir","17","Agadir","14","Agadir"
"587","AB814672459","TWLSL","EQAQQ","2002","Tanger","Electrique","2","14","13","15","20","11","17","3","1","0","11","Casablanca","18","Rabat","12","Rabat"
"591","AB641077528","GUGFT","YMDYS","2000","Oujda","Electrique","2","19","10","15","18","11","16","0","0","2","9","Nador","15","Tetouan","9","Casablanca"
"596","AB602625389","KELOT","YRXVG","1999","Oujda","Electrique","3","10","18","12","20","9","19","3","3","0","12","Casablanca","18","Tanger","19","Casablanca"
"601","AB201080365","IZIQB","AYANO","2001","Fes","Electrique","3","10","17","18","13","14","13","3","2","0","11","Casablanca","16","Rabat","18","Rabat"
"613","AB447336964","KYJEY","FYNMT","2000","Oujda","Electrique","1","15","9","15","15","19","15","4","0","1","9","Fes","14","Marrakech","14","Oujda"
"621","AB335250609","YJEIB","YYFIN","2000","Tanger","Electrique","3","14","11","14","14","14","15","0","0","0","11","Rabat","14","Rabat","10","Tanger"
"624","AB889036225","NMAFM","KUNBK","2002","Tanger","Electrique","2","11","14","15","20","11","11","5","0","0","20","Oujda","15","Nador","17","Nador"
"636","AB487971338","FFTFT","CSSSY","2001","Tetouan","Electrique","3","20","17","13","18","14","20","4","3","0","14","Fes","12","Casablanca","9","Tanger"
"646","AB295079863","KYCOW","VFUSZ","2001","Tetouan","Electrique","2","11","13","16","14","17","10","5","2","1","17","Fes","19","Tetouan","10","Tanger"
"648","AB555428224","UGHWO","ZIYHL","2001","Fes","Electrique","1","13","15","12","9","12","14","4","0","2","13","Tanger","14","Tanger","18","Oujda"
"650","AB245392140","ESGIB","SKJIV","1999","Fes","Electrique","3","13","16","16","10","15","18","5","3","0","10","Tanger","10","Tanger","11","Agadir"
"652","AB294463051","XVAIU","FZUJK","2002","Agadir","Electrique","2","9","14","18","9","12","19","2","1","2","17","Fes","15","Oujda","10","Marrakech"
"653","AB664813918","AJOLW","BJFAC","1998","Tanger","Electrique","3","11","17","19","20","14","16","4","0","1","18","Agadir","20","Agadir","15","Rabat"
"660","AB974428801","DUTPO","VXYFM","2000","Tetouan","Electrique","3","20","20","12","13","16","16","2","3","2","12","Tanger","11","Rabat","10","Tanger"
"663","AB667818537","MFOBB","RWXLM","1999","Rabat","Electrique","1","11","13","18","10","10","17","5","2","2","17","Casablanca","17","Rabat","20","Rabat"
"669","AB709386890","ESILR","OUTDE","2002","Agadir","Electrique","3","14","20","15","12","18","13","5","3","2","14","Tanger","13","Rabat","17","Rabat"
"672","AB308615653","TFQYF","EPOXG","2000","Marrakech","Electrique","1","16","13","16","15","13","17","5","3","0","9","Marrakech","10","Fes","13","Agadir"
"677","AB259983554","UKJBH","RONZD","1998","Nador","Electrique","1","20","13","11","16","12","10","1","1","0","16","Tanger","15","Tanger","19","Agadir"
"687","AB929416883","NZBPG","ILEEG","2002","Casablanca","Electrique","1","15","16","14","15","18","18","2","1","0","13","Tanger","13","Fes","10","Nador"
"700","AB689906521","JJGLV","QYBXG","2002","Rabat","Electrique","3","18","19","13","9","10","17","1","2","1","9","Nador","19","Fes","12","Oujda"
"702","AB508622024","IRNLB","RHSFF","1998","Nador","Electrique","3","16","10","18","15","12","17","2","3","2","14","Fes","17","Oujda","15","Tanger"
"718","AB841861238","GPNPE","DQLDN","1998","Rabat","Electrique","1","20","20","12","9","14","20","2","2","1","13","Rabat","12","Nador","18","Marrakech"
"720","AB626243985","DREDB","NWFVA","1999","Oujda","Electrique","2","16","18","19","19","10","20","4","3","1","19","Agadir","11","Rabat","9","Fes"
"728","AB237412646","VXNHV","VZCQM","1999","Oujda","Electrique","2","15","13","17","20","14","16","1","0","0","11","Oujda","16","Agadir","14","Tetouan"
"735","AB213651631","AITQX","TQAZP","2002","Rabat","Electrique","3","12","20","18","15","19","20","1","2","1","20","Oujda","19","Tanger","11","Rabat"
"745","AB231502971","KCWJU","GPQZB","2001","Agadir","Electrique","3","17","10","10","18","11","16","3","3","0","15","Nador","19","Casablanca","18","Casablanca"
"754","AB705107623","DANBN","FJGYM","1999","Oujda","Electrique","1","9","11","12","15","20","13","1","1","2","12","Agadir","20","Oujda","10","Fes"
"759","AB152533596","SSWUA","OQSCU","2002","Marrakech","Electrique","1","16","20","14","12","17","17","4","1","1","12","Fes","20","Fes","14","Casablanca"
"765","AB245411268","NKEWB","WTIXN","2002","Rabat","Electrique","2","13","16","15","19","20","18","1","0","0","17","Tanger","20","Fes","15","Nador"
"775","AB821907740","LPZBD","AVVCW","2001","Casablanca","Electrique","3","17","19","20","16","13","13","0","2","2","20","Tetouan","17","Casablanca","14","Tetouan"
"781","AB972235082","QCDVB","JKTRM","1998","Tetouan","Electrique","3","9","9","14","19","9","16","4","1","0","13","Fes","15","Tanger","17","Tetouan"
"789","AB707476478","HCWEC","ZMFAX","2002","Oujda","Electrique","1","18","16","20","17","19","14","5","3","0","11","Casablanca","15","Agadir","11","Casablanca"
"798","AB981859507","WCVYL","BDAGO","2002","Rabat","Electrique","2","13","15","20","15","19","10","1","0","1","14","Casablanca","13","Tetouan","18","Tetouan"
"804","AB120564093","GXHGD","FZCAA","1999","Tanger","Electrique","2","19","15","9","18","11","13","3","0","2","10","Casablanca","14","Rabat","18","Casablanca"
"806","AB947296481","TLDQX","PSUGM","2001","Nador","Electrique","2","15","9","20","15","20","17","5","2","0","16","Marrakech","11","Tanger","11","Fes"
"816","AB530994800","BDNBP","FOWBU","2001","Fes","Electrique","1","16","9","20","9","11","14","0","3","1","9","Casablanca","17","Nador","12","Rabat"
"830","AB375358091","UFENH","WSJCS","1998","Casablanca","Electrique","1","18","20","16","13","17","9","3","0","2","19","Casablanca","12","Tetouan","13","Tanger"
"837","AB104464036","EHBVC","TEYAB","2000","Fes","Electrique","1","19","11","15","17","16","13","4","1","1","12","Oujda","11","Rabat","11","Tanger"
"841","AB158972567","GNBFC","QTFCO","2000","Casablanca","Electrique","3","9","20","16","10","16","13","4","0","2","16","Marrakech","14","Marrakech","20","Tanger"
"842","AB911397987","RRRJY","RGJZK","2002","Tanger","Electrique","3","15","11","18","11","18","9","5","3","1","18","Nador","20","Marrakech","16","Casablanca"
"857","AB509825142","DUSMS","ZAPRB","1998","Tetouan","Electrique","2","10","13","10","17","16","9","1","1","2","16","Tetouan","13","Rabat","16","Tetouan"
